% time inp1 sine1 sum3 pulse1 sum1 sum2 lim1 filt1 ingr1 sum4 sum5 
0.83 0.668 0 0.668 0 0.668 0.214718 0.214718 0.304321 0.229698 0.668 -2 
0.84 0.67 0 0.67 0 0.67 0.210605 0.210605 0.301612 0.232727 0.67 -2 
0.85 0.672 0 0.672 0 0.672 0.206546 0.206546 0.298862 0.23573 0.672 -2 
0.86 0.674 0 0.674 0 0.674 0.202541 0.202541 0.296074 0.238704 0.674 -2 
0.87 0.676 0 0.676 0 0.676 0.198591 0.198591 0.293251 0.241651 0.676 -2 
0.88 0.678 0 0.678 0 0.678 0.194698 0.194698 0.290396 0.244569 0.678 -2 
0.89 0.68 0 0.68 0 0.68 0.190862 0.190862 0.287511 0.247459 0.68 -2 
0.9 0.682 0 0.682 0 0.682 0.187083 0.187083 0.284598 0.250319 0.682 -2 
0.91 0.684 0 0.684 0 0.684 0.183362 0.183362 0.281661 0.25315 0.684 -2 
0.92 0.686 0 0.686 0 0.686 0.179699 0.179699 0.278701 0.255952 0.686 -2 
0.93 0.688 0 0.688 0 0.688 0.176095 0.176095 0.275722 0.258724 0.688 -2 
0.94 0.69 0 0.69 0 0.69 0.172551 0.172551 0.272725 0.261467 0.69 -2 
0.95 0.692 0 0.692 0 0.692 0.169067 0.169067 0.269713 0.264179 0.692 -2 
0.96 0.694 0 0.694 0 0.694 0.165642 0.165642 0.266687 0.266861 0.694 -2 
0.97 0.696 0 0.696 0 0.696 0.162278 0.162278 0.263651 0.269513 0.696 -2 
0.98 0.698 0 0.698 0 0.698 0.158975 0.158975 0.260606 0.272134 0.698 -2 
0.99 0.7 0 0.7 0 0.7 0.155732 0.155732 0.257554 0.274725 0.7 -2 
1 0.702 0 0.702 2 2.702 2.15255 2 0.2818 0.277421 0.702 -2 
